,danceability,valence,year,fedfundrate,UnemploymentRate,recession,election,US_GDP,year_1,State_prisons,fertility,DeathRate,S&P500
45,0.585,0.965,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
46,0.45,0.36,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
47,0.506,0.863,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
48,0.394,0.423,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
49,0.278,0.24,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
50,0.868,0.963,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
51,0.389,0.615,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
52,0.754,0.971,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
53,0.504,0.367,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
54,0.796,0.713,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
55,0.588,0.853,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
56,0.742,0.897,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
57,0.311,0.565,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
58,0.528,0.297,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
59,0.271,0.112,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
60,0.6409999999999999,0.913,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
61,0.5115000000000001,0.3965,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
62,0.405,0.956,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
63,0.5820000000000001,0.743,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
64,0.474,0.524,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
65,0.528,0.967,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
66,0.515,0.926,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
67,0.698,0.97,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
68,0.282,0.255,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
69,0.469,0.475,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
70,0.691,0.885,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
71,0.566,0.822,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
72,0.283,0.896,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
73,0.4645,0.738,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
74,0.486,0.888,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
75,0.719,0.727,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
76,0.521,0.812,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
77,0.584,0.8420000000000001,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
78,0.483,0.404,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
79,0.568,0.383,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
80,0.623,0.82,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
81,0.413,0.547,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
82,0.359,0.628,1960,3.215833333333333,5.541666666666667,1,1,542.38225,1960,189735.0,3.654,1339.2,0.0
83,0.565,0.9635,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
84,0.525,0.631,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
85,0.529,0.741,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
86,0.354,0.623,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
87,0.481,0.9535,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
88,0.787,0.869,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
89,0.381,0.563,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
90,0.595,0.858,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
91,0.376,0.884,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
92,0.493,0.6145,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
93,0.5720000000000001,0.381,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
94,0.3905,0.479,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
95,0.698,0.827,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
96,0.4105,0.3974999999999999,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
97,0.606,0.945,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
98,0.605,0.5539999999999999,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
99,0.655,0.9,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
100,0.638,0.8640000000000001,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
101,0.556,0.896,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
102,0.795,0.911,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
103,0.684,0.8240000000000001,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
104,0.514,0.444,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
105,0.535,0.912,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
106,0.512,0.841,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
107,0.6799999999999999,0.8685,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
108,0.589,0.777,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
109,0.644,0.248,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
110,0.248,0.649,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
111,0.297,0.753,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
112,0.498,0.888,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
113,0.602,0.902,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
114,0.624,0.935,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
115,0.407,0.43,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
116,0.459,0.931,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
117,0.636,0.7949999999999999,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
118,0.364,0.598,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
119,0.562,0.7385,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
120,0.493,0.222,1961,1.955,6.691666666666666,1,0,562.20975,1961,196453.0,3.62,1298.8,0.27
