,danceability,valence,year,recession,election,fedfundrate,UnemploymentRate,US_GDP,Entertainment_GDP,year_1,State_prisons,fertility,DeathRate,S&P500
44,0.8959999999999999,0.7440000000000001,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
45,0.647,0.9615,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
46,0.505,0.472,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
47,0.7440000000000001,0.122,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
48,0.815,0.795,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
49,0.721,0.542,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
50,0.263,0.622,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
51,0.555,0.359,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
52,0.7559999999999999,0.591,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
53,0.826,0.434,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
54,0.5195000000000001,0.1285,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
55,0.6265000000000001,0.6025,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
56,0.627,0.799,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
57,0.737,0.76,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
58,0.927,0.965,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
59,0.7685,0.347,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
60,0.509,0.878,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
61,0.859,0.78,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
62,0.77,0.65,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
63,0.217,0.0847,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
64,0.363,0.148,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
65,0.671,0.855,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
66,0.735,0.591,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
67,0.8320000000000001,0.965,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
68,0.615,0.8220000000000001,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
69,0.81,0.962,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
70,0.357,0.267,1997,0,0,5.46,4.941666666666666,8362.655,37156.0,1997,1099347.0,1.971,877.7,0.33
71,0.8485,0.7324999999999999,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
72,0.585,0.634,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
73,0.5605,0.7985,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
74,0.5770000000000001,0.258,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
75,0.629,0.181,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
76,0.45,0.3670000000000001,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
77,0.8190000000000001,0.515,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
78,0.4004999999999999,0.456,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
79,0.562,0.574,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
80,0.8809999999999999,0.858,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
81,0.7609999999999999,0.922,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
82,0.815,0.887,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
83,0.4,0.108,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
84,0.6709999999999999,0.906,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
85,0.526,0.251,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
86,0.734,0.612,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
87,0.439,0.6785000000000001,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
88,0.607,0.407,1998,0,0,5.353333333333333,4.5,8866.48,40614.0,1998,1152792.0,1.999,870.1,0.28
